order_id,order_status,dispatch_status,datetime,
14959,New Booking,LBS: Auto Dispatch Automation Started,31-07-2024 04:21,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,31-07-2024 04:21,
14959,New Booking,"Group ID 119: {""process_status"":true,""success"":""Auto Dispatch Success""}",31-07-2024 04:21,
14959,Waiting Driver Response,API: Request Received,31-07-2024 04:26,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,31-07-2024 04:31,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,31-07-2024 04:31,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 02:25,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 02:25,
14959,Un-Assigned,"Group ID 123: {""process_status"":true,""success"":""Auto Dispatch Success""}",03-08-2024 02:25,
14959,Waiting Driver Response,API: Request Received,03-08-2024 02:30,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 02:36,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 02:36,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 02:56,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 02:56,
14959,Un-Assigned,"Group ID 123: {process_status"":true",03-08-2024 02:56,
14959,Waiting Driver Response,API: Request Received,03-08-2024 03:01,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 03:06,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 03:06,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 03:26,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 03:26,
14959,Un-Assigned,"Group ID 123: {process_status"":true",03-08-2024 03:26,
14959,Waiting Driver Response,API: Request Received,03-08-2024 03:31,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 03:36,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 03:36,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 03:57,
